file,age,gender,race,service_test,split,age_group,gender_label,race_label,file_path
train/62032.jpg,30-39,male,black,True,train,old,1,0,fairface-imgs\train/62032.jpg
val/10650.jpg,40-49,female,black,False,val,old,0,0,fairface-imgs\val/10650.jpg
train/23894.jpg,10-19,male,black,True,train,young,1,0,fairface-imgs\train/23894.jpg
train/68768.jpg,20-29,male,black,True,train,young,1,0,fairface-imgs\train/68768.jpg
train/28658.jpg,10-19,female,black,False,train,young,0,0,fairface-imgs\train/28658.jpg
train/63738.jpg,50-59,female,black,True,train,old,0,0,fairface-imgs\train/63738.jpg
train/80170.jpg,20-29,female,black,True,train,young,0,0,fairface-imgs\train/80170.jpg
train/71090.jpg,30-39,female,black,False,train,old,0,0,fairface-imgs\train/71090.jpg
train/46327.jpg,3-9,female,black,False,train,old,0,0,fairface-imgs\train/46327.jpg
train/1149.jpg,3-9,male,black,False,train,old,1,0,fairface-imgs\train/1149.jpg
train/59651.jpg,30-39,male,black,False,train,old,1,0,fairface-imgs\train/59651.jpg
train/24371.jpg,40-49,female,black,False,train,old,0,0,fairface-imgs\train/24371.jpg
train/35294.jpg,30-39,female,black,False,train,old,0,0,fairface-imgs\train/35294.jpg
train/45274.jpg,10-19,male,black,False,train,young,1,0,fairface-imgs\train/45274.jpg
train/32732.jpg,20-29,female,black,True,train,young,0,0,fairface-imgs\train/32732.jpg
train/67785.jpg,10-19,male,black,False,train,young,1,0,fairface-imgs\train/67785.jpg
train/62573.jpg,3-9,male,black,False,train,old,1,0,fairface-imgs\train/62573.jpg
train/7401.jpg,10-19,male,black,False,train,young,1,0,fairface-imgs\train/7401.jpg
train/69733.jpg,50-59,female,black,True,train,old,0,0,fairface-imgs\train/69733.jpg
train/75259.jpg,30-39,male,black,True,train,old,1,0,fairface-imgs\train/75259.jpg
train/40886.jpg,20-29,female,black,False,train,young,0,0,fairface-imgs\train/40886.jpg
train/67665.jpg,20-29,female,black,False,train,young,0,0,fairface-imgs\train/67665.jpg
train/45315.jpg,40-49,male,black,True,train,old,1,0,fairface-imgs\train/45315.jpg
train/34415.jpg,20-29,female,black,True,train,young,0,0,fairface-imgs\train/34415.jpg
train/50499.jpg,20-29,female,black,True,train,young,0,0,fairface-imgs\train/50499.jpg
train/17229.jpg,20-29,male,black,True,train,young,1,0,fairface-imgs\train/17229.jpg
